,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight,record_id,month,day,year,plot_id,species_id,sex,hindfoot_length,weight
0,1.0,7.0,16.0,1977.0,2.0,NL,M,32.0,,35539,12,31,2002,15,SF,M,26.0,68.0
1,2.0,7.0,16.0,1977.0,3.0,NL,M,33.0,,35540,12,31,2002,15,PB,F,26.0,23.0
2,3.0,7.0,16.0,1977.0,2.0,DM,F,37.0,,35541,12,31,2002,15,PB,F,24.0,31.0
3,4.0,7.0,16.0,1977.0,7.0,DM,M,36.0,,35542,12,31,2002,15,PB,F,26.0,29.0
4,5.0,7.0,16.0,1977.0,3.0,DM,M,35.0,,35543,12,31,2002,15,PB,F,27.0,34.0
5,,,,,,,,,,35544,12,31,2002,15,US,,,
6,,,,,,,,,,35545,12,31,2002,15,AH,,,
7,,,,,,,,,,35546,12,31,2002,15,AH,,,
8,,,,,,,,,,35547,12,31,2002,10,RM,F,15.0,14.0
9,,,,,,,,,,35548,12,31,2002,7,DO,M,36.0,51.0
